,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,10.800634717941284,0.8504700729221187,1.7076862812042237,0.34294640828192796,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,13
1,9.90134038925171,0.5541060604013746,1.6673498630523682,0.6666930986755206,0.01,poly,"{'C': 0.01, 'kernel': 'poly'}",0.19047619047619047,0.19047619047619047,0.18333333333333332,0.1880952380952381,0.19047619047619047,0.18857142857142856,0.0027766437594501435,16
2,9.81052656173706,1.504036031963767,1.5537475109100343,0.3292491591911251,0.01,rbf,"{'C': 0.01, 'kernel': 'rbf'}",0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,13
3,9.875307607650758,0.5680625175625567,1.449268913269043,0.11314931883213401,0.01,sigmoid,"{'C': 0.01, 'kernel': 'sigmoid'}",0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,13
4,5.814568567276001,0.47761027923129207,1.2401612758636475,0.20627079561886225,0.1,linear,"{'C': 0.1, 'kernel': 'linear'}",0.9809523809523809,0.9952380952380953,1.0,0.9952380952380953,1.0,0.9942857142857143,0.00699854212223767,9
5,6.565237188339234,0.6380855378536507,1.4477025508880614,0.3437936113262302,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.9642857142857143,0.9928571428571429,0.9928571428571429,0.9976190476190476,0.9904761904761905,0.9876190476190476,0.011895234282663616,12
6,6.63785605430603,1.2550622374072766,1.177376890182495,0.1270867334280263,0.1,rbf,"{'C': 0.1, 'kernel': 'rbf'}",0.9738095238095238,0.9976190476190476,1.0,0.9976190476190476,0.9976190476190476,0.9933333333333334,0.009805362039035247,11
7,6.998856782913208,1.4762332713279689,1.5415029048919677,0.44361659572951356,0.1,sigmoid,"{'C': 0.1, 'kernel': 'sigmoid'}",0.9809523809523809,0.9952380952380953,1.0,0.9952380952380953,1.0,0.9942857142857143,0.00699854212223767,9
8,1.9808135986328126,0.16414161965065574,0.5428931713104248,0.10872954763954606,0.5,linear,"{'C': 0.5, 'kernel': 'linear'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
9,2.2026681900024414,0.14003544092566728,0.5327547073364258,0.14876785938236178,0.5,poly,"{'C': 0.5, 'kernel': 'poly'}",0.9833333333333333,1.0,1.0,1.0,1.0,0.9966666666666667,0.006666666666666687,8
10,1.9274587631225586,0.1242655392331071,0.3807698726654053,0.05106470253359518,0.5,rbf,"{'C': 0.5, 'kernel': 'rbf'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
11,2.0618874549865724,0.10262931427316192,0.4759219646453857,0.10762604770401388,0.5,sigmoid,"{'C': 0.5, 'kernel': 'sigmoid'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
12,1.1078135013580321,0.1464488789818445,0.3217764377593994,0.03969035879558275,1.0,linear,"{'C': 1, 'kernel': 'linear'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
13,1.6111822605133057,0.149176421519493,0.29662361145019533,0.015634112795908057,1.0,poly,"{'C': 1, 'kernel': 'poly'}",0.9880952380952381,1.0,1.0,1.0,1.0,0.9976190476190476,0.004761904761904744,7
14,1.1406925678253175,0.08703845121076237,0.21859164237976075,0.0076609285777769105,1.0,rbf,"{'C': 1, 'kernel': 'rbf'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
15,1.1064224720001221,0.04164957090103187,0.24351119995117188,0.030376253965634117,1.0,sigmoid,"{'C': 1, 'kernel': 'sigmoid'}",0.9928571428571429,1.0,1.0,1.0,1.0,0.9985714285714286,0.0028571428571428467,1
